m1,m2,m3,m4,m5,m6,m7,value
Shendra-SEZ,Assistant,Manufacturing,01-12-15,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,31-03-15,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Junior Executive,Manufacturing,31-03-15,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,27-01-16,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Executive,Manufacturing,24-02-16,1-2 Years,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,07-07-15,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,12-05-16,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,02-03-16,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Officer,Manufacturing,27-07-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Senior Executive,Manufacturing,07-05-15,3-6 Months,Quality,100,1
Shendra-SEZ,Junior Executive,Manufacturing,30-01-15,0-3 Months,Global Mfg,100,1
Daman-Bhimpore,Senior Executive,Manufacturing,26-04-15,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,28-08-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,26-05-16,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Senior Executive,Manufacturing,09-03-16,1-2 Years,Global Mfg,100,1
Shendra-SEZ,STAFF TRAINEE,Manufacturing,20-10-15,6 Months to 1 Year,Global Tech.Ser,100,1
Shendra-SEZ,Senior Officer,Manufacturing,24-02-16,1-2 Years,Quality,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,31-03-15,0-3 Months,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,20-10-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Senior Assistant,Manufacturing,30-03-15,0-3 Months,Global Mfg,100,1
Daman-Bhimpore,Supervisor,Manufacturing,30-06-15,3-6 Months,Global Tech.Ser,100,1
Daman-Bhimpore,Supervisor,Manufacturing,31-03-15,0-3 Months,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,31-03-15,0-3 Months,Global Tech.Ser,100,1
Daman-Kadaiya,Executive,Manufacturing,31-03-15,0-3 Months,Training Cell,100,1
Daman-Bhimpore,Technician,Manufacturing,07-07-15,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Senior Officer,Manufacturing,10-01-15,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,25-06-16,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,09-03-15,0-3 Months,Quality,200,1
Shendra-SEZ,Executive,Manufacturing,23-02-16,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,19-11-15,6 Months to 1 Year,Quality,200,1
Shendra-SEZ,Assistant,Manufacturing,24-01-15,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Senior Assistant,Manufacturing,02-07-15,3-6 Months,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,07-07-15,3-6 Months,Quality,200,1
Shendra-SEZ,Senior Assistant,Manufacturing,22-09-15,6 Months to 1 Year,Global Mfg,200,1
Shendra-SEZ,Officer,Manufacturing,21-10-15,6 Months to 1 Year,Quality,200,1
Daman-Bhimpore,Junior Executive,Manufacturing,27-01-16,6 Months to 1 Year,Quality,200,1
Daman-Bhimpore,Officer,Manufacturing,31-03-15,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Officer,Manufacturing,31-03-15,0-3 Months,Quality,200,1
Daman-Kadaiya,Junior Executive,Manufacturing,04-11-15,6 Months to 1 Year,Quality,200,1
Shendra-SEZ,Executive,Manufacturing,25-08-15,6 Months to 1 Year,Quality,200,1
Shendra-SEZ,Dy. General Manager,Manufacturing,11-03-16,1-2 Years,Location HR,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,25-11-15,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,03-05-16,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,25-09-15,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Executive,Manufacturing,30-04-15,0-3 Months,Quality,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,19-06-16,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Executive,Manufacturing,13-03-16,1-2 Years,CSS-IT,300,1
Shendra-SEZ,Executive,Manufacturing,16-04-15,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,14-04-16,1-2 Years,Quality,300,1
Shendra-SEZ,Assitant Manager,Manufacturing,24-05-16,1-2 Years,Quality,300,1
Daman-Bhimpore,Technician,Manufacturing,24-06-15,3-6 Months,Global Mfg,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,31-08-15,3-6 Months,Quality,300,1
Daman-Bhimpore,Executive,Manufacturing,07-09-15,3-6 Months,Global Mfg,300,1
Daman-Kadaiya,Officer,Manufacturing,28-09-15,6 Months to 1 Year,Global Mfg,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,20-03-16,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,Officer,Manufacturing,16-06-16,1-2 Years,Location HR,300,1
Daman-Bhimpore,Supervisor,Manufacturing,18-09-15,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,24-06-15,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,24-06-15,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Junior Executive,Manufacturing,30-06-15,0-3 Months,Global Mfg,300,1
Daman-Bhimpore,Trainee Technician,Manufacturing,02-03-16,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,31-08-15,3-6 Months,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,31-10-15,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,OFFICER,Manufacturing,25-09-15,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Assistant Manager,Manufacturing,07-07-15,0-3 Months,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,31-10-15,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Senior Manager,Manufacturing,30-03-16,6 Months to 1 Year,Training Cell,300,1
Daman-Bhimpore,SENIOR OFFICER,Manufacturing,20-05-16,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Officer,Manufacturing,02-11-15,3-6 Months,Global Mfg,400,1
Daman-Bhimpore,Trainee Technician,Manufacturing,20-01-16,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,SENIOR OFFICER,Manufacturing,12-10-15,3-6 Months,Global Mfg,400,1
Shendra-SEZ,Executive,Manufacturing,31-10-15,3-6 Months,Global Mfg,400,1
Daman-Bhimpore,Trainee Technician,Manufacturing,04-03-16,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Technician,Manufacturing,07-07-15,0-3 Months,Global Mfg,400,1
Daman-Bhimpore,Junior Executive,Manufacturing,07-09-15,3-6 Months,Global Mfg,400,1
Daman-Kadaiya,Technician,Manufacturing,17-05-16,6 Months to 1 Year,Global Mfg,400,1
Daman-Kadaiya,Officer,Manufacturing,16-09-15,3-6 Months,Global Mfg,400,1
Shendra-SEZ,Executive,Manufacturing,13-01-16,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Senior Executive,Manufacturing,30-10-15,3-6 Months,Global Mfg,400,1
Shendra-SEZ,Executive,Manufacturing,29-12-15,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Senior Officer,Manufacturing,29-03-16,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Trainee Technician,Manufacturing,28-06-16,1-2 Years,Global Mfg,400,1
Daman-Bhimpore,Technician,Manufacturing,15-03-16,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Staff Trainee,Manufacturing,30-06-15,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Staff Trainee,Manufacturing,28-07-15,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Staff Trainee,Manufacturing,10-09-15,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Officer,Manufacturing,15-03-16,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Officer,Manufacturing,30-05-16,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Staff Trainee,Manufacturing,30-06-15,0-3 Months,Global Mfg,500,1
Daman-Bhimpore,Technician,Manufacturing,07-09-15,0-3 Months,Global Mfg,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,14-03-16,6 Months to 1 Year,Global Mfg,500,1
Daman-Kadaiya,Senior Officer,Manufacturing,17-06-16,6 Months to 1 Year,Quality,500,1
Shendra-SEZ,Technician,Manufacturing,24-02-16,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Senior Officer,Manufacturing,19-11-15,3-6 Months,Quality,500,1
Shendra-SEZ,Assistant Manager,Manufacturing,30-11-15,3-6 Months,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,10-03-16,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,30-11-15,3-6 Months,Global Mfg,500,1
Daman-Bhimpore,Technician,Manufacturing,16-05-16,6 Months to 1 Year,Global Mfg,500,1
Shendra-SEZ,Technician,Manufacturing,28-05-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,30-11-15,3-6 Months,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,30-03-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Executive,Manufacturing,02-04-16,6 Months to 1 Year,Quality,100,1
Daman-Bhimpore,Junior Executive,Manufacturing,05-02-16,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Junior Assistant,Manufacturing,31-05-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Assistant Manger,Manufacturing,05-02-16,3-6 Months,Global Mfg,100,1
Daman-Kadaiya,Officer,Manufacturing,03-05-16,6 Months to 1 Year,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,07-11-15,0-3 Months,Global Mfg,100,1
Daman-Bhimpore,Senior Executive,Manufacturing,30-11-15,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,16-06-16,6 Months to 1 Year,Quality,100,1
Shendra-SEZ,SENIOR MANAGER,Manufacturing,02-04-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,14-10-15,0-3 Months,Global Mfg,100,1
Shendra-SEZ,Senior Assistanta,Manufacturing,06-05-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,31-12-15,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,15-03-16,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Officer,Manufacturing,05-02-16,3-6 Months,Quality,100,1
Daman-Bhimpore,Technician,Manufacturing,30-03-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Assistant,Manufacturing,02-07-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Executive,Manufacturing,31-05-16,6 Months to 1 Year,CSS-IT,100,1
Shendra-SEZ,Assistant,Manufacturing,21-04-16,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,SENIOR MANAGER,Manufacturing,09-02-16,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Junior Executive,Manufacturing,16-05-16,6 Months to 1 Year,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,20-01-16,3-6 Months,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,31-10-15,0-3 Months,Global Mfg,100,1
Daman-Bhimpore,Technician,Manufacturing,16-05-16,6 Months to 1 Year,Global Mfg,200,1
Shendra-SEZ,Assistant,Manufacturing,29-04-16,6 Months to 1 Year,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,21-04-16,3-6 Months,Quality,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,30-03-16,3-6 Months,Global Mfg,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,03-01-16,0-3 Months,Global Mfg,200,1
Daman-Bhimpore,Senior Officer,Manufacturing,22-03-16,3-6 Months,Global Mfg,200,1
Shendra-SEZ,Assistant,Manufacturing,28-04-16,3-6 Months,Global Mfg,200,1
Shendra-SEZ,Executive - IT Compliance,Manufacturing,29-04-16,3-6 Months,CSS-IT,200,1
Daman-Kadaiya,Officer,Manufacturing,24-04-16,3-6 Months,Quality,200,1
Daman-Bhimpore,Executive,Manufacturing,29-04-16,3-6 Months,Global Mfg,200,1
Daman-Bhimpore,Technician,Manufacturing,15-04-16,3-6 Months,Global Mfg,200,1
Daman-Bhimpore,Junior Executive,Manufacturing,31-05-16,3-6 Months,Global Mfg,200,1
Daman-Bhimpore,Supervisor,Manufacturing,15-03-16,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,21-04-16,0-3 Months,Global Mfg,200,1
Shendra-SEZ,Senior Executive,Manufacturing,21-04-16,0-3 Months,Global Mfg,200,1
Daman-Bhimpore,Trainee Technician,Manufacturing,25-05-16,0-3 Months,Global Mfg,300,1
Daman-Bhimpore,Technician,Manufacturing,16-05-16,0-3 Months,Global Mfg,300,1
