m1,m2,m3,m4,m5,m6,m7,Left,value
Assam,Corporate Role,Infra,01-07-16,10+ yrs,Support,269,1,0
Jharkhand,Associate,Telecom,01-06-16,01-02 yrs,Sales,197,1,0
Delhi,Associate,Finance,01-09-16,10+ yrs,Marketing,197,1,0
Jharkhand,Associate,Retail,01-10-16,02-05 yrs,IT,172,1,0
Delhi,Sales Executive,Metal,01-08-16,02-05 yrs,Support,177,1,0
Delhi,Territory Manager,Infra,01-12-16,01-02 yrs,Support,299,1,0
Assam,Businees Development Executive,Finance,01-12-16,10+ yrs,Sales,221,1,0
Assam,Relationship Manager,Power,01-07-16,00-01 yrs,HR,242,1,0
Assam,Associate,Infra,01-11-16,10+ yrs,Sales,223,1,0
Assam,Associate,Retail,01-04-16,01-02 yrs,Sales,119,1,0
Jharkhand,Associate,Power,01-03-16,00-01 yrs,Support,258,1,0
Delhi,Businees Development Executive,Telecom,01-12-16,01-02 yrs,Finance,106,1,0
Jharkhand,Associate,Finance,01-03-16,01-02 yrs,HR,194,1,0
Delhi,Businees Development Executive,Retail,01-06-16,02-05 yrs,IT,130,1,0
Delhi,Businees Development Executive,Telecom,01-05-16,01-02 yrs,Marketing,152,1,0
Jharkhand,Businees Development Executive,Infra,01-10-16,00-01 yrs,Marketing,127,1,0
Assam,Relationship Manager,Finance,01-10-16,00-01 yrs,Sales,138,1,0
Jharkhand,Corporate Role,Telecom,01-11-16,00-01 yrs,Finance,110,1,0
Delhi,Administration Executive,Power,01-02-16,01-02 yrs,HR,199,1,0
Delhi,Businees Development Executive,Retail,01-11-16,10+ yrs,HR,286,1,0
Jharkhand,Territory Manager,Retail,01-09-16,00-01 yrs,Finance,246,1,0
Assam,Associate,Infra,01-08-16,00-01 yrs,Finance,159,1,0
Delhi,Associate,Finance,01-08-16,01-02 yrs,HR,117,1,0
Delhi,Sales Executive,Retail,01-04-16,01-02 yrs,Sales,220,1,0
Delhi,Territory Manager,Finance,01-11-16,00-01 yrs,Support,267,1,0
Jharkhand,Sales Executive,Metal,01-10-16,01-02 yrs,IT,236,1,0
Assam,Associate,Metal,01-04-16,01-02 yrs,Finance,118,1,0
Jharkhand,Sales Executive,Telecom,01-10-16,02-05 yrs,IT,296,1,0
Assam,Sales Executive,Metal,01-09-16,00-01 yrs,Support,138,1,0
Assam,Businees Development Executive,Power,01-09-16,05-10 yrs,Finance,240,1,0
Delhi,Sales Executive,Telecom,01-02-16,05-10 yrs,Finance,148,1,0
Assam,Corporate Role,Metal,01-12-16,02-05 yrs,Finance,102,1,0
Delhi,Businees Development Executive,Metal,01-09-16,00-01 yrs,Sales,134,1,0
Jharkhand,Territory Manager,Finance,01-03-16,00-01 yrs,Marketing,119,1,0
Delhi,Sales Executive,Retail,01-09-16,02-05 yrs,Support,112,1,0
Delhi,Territory Manager,Retail,01-01-16,00-01 yrs,Sales,153,1,0
Delhi,Sales Executive,Retail,01-02-16,00-01 yrs,Sales,125,1,0
Jharkhand,Corporate Role,Retail,01-10-16,10+ yrs,Marketing,103,1,0
Jharkhand,Relationship Manager,Power,01-12-16,01-02 yrs,Sales,211,1,0
Delhi,Administration Executive,Finance,01-03-16,00-01 yrs,Sales,272,1,0
Delhi,Relationship Manager,Telecom,01-05-16,00-01 yrs,Sales,130,1,0
Jharkhand,Territory Manager,Retail,01-03-16,02-05 yrs,Marketing,139,1,0
Assam,Associate,Finance,01-12-16,01-02 yrs,Sales,155,1,0
Assam,Associate,Metal,01-01-16,05-10 yrs,Finance,105,1,0
Delhi,Associate,Retail,01-05-16,10+ yrs,Sales,294,1,0
Delhi,Administration Executive,Retail,01-05-16,02-05 yrs,Sales,109,1,0
Jharkhand,Relationship Manager,Retail,01-12-16,01-02 yrs,Sales,215,1,0
Delhi,Associate,Retail,01-02-16,01-02 yrs,Marketing,274,1,0
Delhi,Sales Executive,Retail,01-04-16,00-01 yrs,Sales,159,1,0
Assam,Associate,Finance,01-05-16,02-05 yrs,Sales,114,1,0
Jharkhand,Sales Executive,Finance,01-03-16,05-10 yrs,Sales,134,1,0
Assam,Territory Manager,Finance,01-01-16,00-01 yrs,Finance,276,1,0
Assam,Relationship Manager,Telecom,01-12-16,02-05 yrs,Finance,135,1,0
Delhi,Associate,Telecom,01-06-16,01-02 yrs,Marketing,197,1,0
